Tarih;Konya - Merkez/Trafik;;;;
;PM10 ( - );CO ( - );NO2 ( - );NOX ( - );O3 ( - )
12.05.2021 16:00;15,39;233,35;13,84;18,48;107,67
12.05.2021 17:00;14,26;232,88;17,78;24,96;99,65
12.05.2021 18:00;11,71;245,23;14,42;18,39;97,41
12.05.2021 19:00;8,6;238,4;16,19;19,14;95,77
12.05.2021 20:00;6,06;194,1;14,41;16,02;96,8
12.05.2021 21:00;4,24;158,33;9,74;10,77;98,05
12.05.2021 22:00;3,05;157,59;9,35;11,02;99,18
12.05.2021 23:00;2,38;147,18;10,49;12,06;100,64
13.05.2021 00:00;2,23;181,45;15,94;18,74;93,56
13.05.2021 01:00;2,34;114,69;16,6;20,55;92,95
13.05.2021 02:00;2,28;65,17;16,37;18,22;91,48
13.05.2021 03:00;2,12;53,33;11,02;11,68;95,32
13.05.2021 04:00;2,11;14,45;5,74;6,68;106,79
13.05.2021 05:00;1,96;103,46;29,3;33,55;55,2
13.05.2021 06:00;2,38;113,44;32,46;35,95;32,76
13.05.2021 07:00;4,27;146,22;23,66;27,59;38,34
13.05.2021 08:00;8,54;343,67;53,84;73,29;34,66
13.05.2021 09:00;14,88;326,44;44,29;61,53;47,61
13.05.2021 10:00;14,64;203,67;20,85;26,98;80,29
13.05.2021 11:00;16,24;155;10,31;12,71;102,45
13.05.2021 12:00;14,94;134,98;7,73;9,96;111,05
13.05.2021 13:00;15,93;123,99;7,25;9,45;112,41
13.05.2021 14:00;14,6;169,46;7,94;10,55;114,76
13.05.2021 15:00;11,11;157,97;6,95;9,3;106,14
13.05.2021 16:00;12,54;144,98;6,51;8,86;98,22
13.05.2021 17:00;11,51;126,54;7,16;10,1;91,62
13.05.2021 18:00;8,39;139,06;6,23;8,19;85,93
13.05.2021 19:00;6,57;124,08;8,37;11,02;87,68
13.05.2021 20:00;9,04;145,86;8,71;10,55;87,6
13.05.2021 21:00;11,38;147,22;8,39;9,96;87,98
13.05.2021 22:00;9,51;132,89;8,24;9,96;90,05
13.05.2021 23:00;6,65;124,7;10,06;11,77;85,47
14.05.2021 00:00;5,12;122,03;10,25;11,56;82,28
14.05.2021 01:00;9,04;203,59;35,4;42,7;53,61
14.05.2021 02:00;9,54;187,52;38,06;41,88;45,23
14.05.2021 03:00;7,11;351,33;43,82;49,48;31,93
14.05.2021 04:00;8,43;103,31;20,06;22,1;60,1
14.05.2021 05:00;8;108,31;17,82;19,61;60,02
14.05.2021 06:00;6,17;114,43;21,65;23,52;32,06
14.05.2021 07:00;6,15;93,6;20,6;25,48;29,27
14.05.2021 08:00;10,68;109,14;35,81;59,39;33,44
14.05.2021 09:00;25,49;354,77;82,27;144,61;21,78
14.05.2021 10:00;27,69;224,05;48,27;69,3;48,47
14.05.2021 11:00;29,77;135,3;15,37;20,73;84,3
14.05.2021 12:00;31,83;101,73;5,85;8,35;100,71
14.05.2021 13:00;30,1;135,83;8,26;10,92;102,46
14.05.2021 14:00;24,23;120,82;7,33;10,49;91,9
14.05.2021 15:00;17,35;87,64;6,14;8,88;79,61
14.05.2021 16:00;12,23;47,43;8,02;11,02;80,26
14.05.2021 17:00;9,14;64,64;7,44;10,75;91,88
14.05.2021 18:00;7,41;80,69;8,94;11,83;96,9
14.05.2021 19:00;5,69;65,74;7,65;9,03;89,1
14.05.2021 20:00;4,1;62,38;11,98;15,1;90,49
14.05.2021 21:00;3;80,33;12,95;15,65;92,25
14.05.2021 22:00;2,25;76,77;12,77;14,73;90,49
14.05.2021 23:00;1,77;60,2;10,1;11,87;92,03
15.05.2021 00:00;1,82;73;10,96;12,67;93,76
15.05.2021 01:00;1,95;70,97;12,67;14,48;83,92
15.05.2021 02:00;2,05;157,43;31,52;33,62;49,23
15.05.2021 03:00;2,56;256,78;45,87;52,71;29,77
15.05.2021 04:00;4,71;249,75;48,97;55,83;18,18
15.05.2021 05:00;9,81;112,34;37,22;41,1;29,35
15.05.2021 06:00;10,32;113,57;29,74;32,07;34
15.05.2021 07:00;10,96;118,88;25,54;29,31;47,69
15.05.2021 08:00;13,76;97,34;22,67;29,88;64
15.05.2021 09:00;24,57;83,55;12,6;15,96;90,32
15.05.2021 10:00;26,2;110,15;8,79;10,89;107,58
